,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,grupo_kmean_tfid,grupo_kmean_pca,nombres
0,0.037089276486566465,-0.03890392439793062,-0.03481166906981998,0.08958184196484131,0.11529268540731943,-0.029547308718706106,-0.0077044129361883784,-0.09316810656333765,0.013221144801256503,0.029537317603071715,-0.04044722631202081,0.0006257106201084309,0.03608980651960999,-0.04341300288318014,0.06731674223972699,0.04007169369823937,-0.014752154207226769,0.013689580660653297,5,7,Abomasnow
1,0.034817971508594385,-0.018936337592794467,0.2745209673419361,-0.027271001527393365,0.010659217242472676,0.021745919580301643,-0.007915159911792934,0.050547732341881785,-0.07711500251723921,-0.01859929137212005,-0.025988327918027583,0.04898154926687452,0.008575564757853824,-0.024685353919227767,0.040586052867784966,0.045244407802830004,-0.0332018807417648,0.018779197392517693,0,9,Abra
2,0.037521010503278676,0.10746997413475848,0.07995432379733146,0.025229326007050596,-0.0889942702711977,0.023605067532930415,0.04552260614906499,-0.006387725802059537,-0.033293880489403356,0.057563967854328865,-0.005576313451542132,-0.0786487634936942,-0.0317336320691399,0.04231509102060558,-0.05373942841131941,-0.0025158846663438776,-0.05469596131077693,-0.04288688027420899,2,2,Absol
3,-0.0007337867960706965,-0.0738260996399101,0.003831653815144546,0.019762966838277416,-0.046219601461103293,-0.03848104758994735,-0.011702205282390405,0.03794787571797766,-0.07548482625641097,-0.0034184653128747204,0.05662987674520357,-0.013091582514172452,0.0917653752083107,0.055873267797110875,-0.059183261361356695,0.007937513093481544,-0.035426798159480494,0.06366946568401408,1,1,Accelgor
4,-0.0010414355010529078,-0.08389845526403676,-0.04200716798608123,-0.043901984759535974,-0.05684861584725497,0.03787830130025754,-0.12904939779204183,0.018702103974130642,-0.08507987714601808,-0.02890318623781486,-0.011688508020650155,-0.07155069329111521,-0.023481983655324473,-0.02483335227632173,-0.09915446677044924,0.039222939548046655,-0.0032878426762121132,-0.02909357629071672,14,1,Aegislash
5,0.03011761242300592,0.11792201057743508,-0.07002720389105452,-0.05927521024089881,-0.12815818317541755,-0.023288949104604977,-0.0223688094621669,-0.11558883717073268,0.04028000190887107,0.04175719907357947,0.0869734986453572,-0.03441878912201781,-0.0016783684130006057,-0.051039593181183444,0.09350750920489463,0.021629740587484247,-0.04037619703064584,0.0065079334489210675,4,13,Aerodactyl
6,0.03343287859504643,0.2108158862959423,-0.03187964634834732,0.0550654143460596,0.03782302844784932,0.005248623597267992,-0.07867200160300473,-0.04881047012614217,0.010549225596775642,-0.037309000822363644,0.02140146965001162,-0.0255682483479826,0.01991668483636771,-0.05448825174425322,0.03375397688757442,0.03859337417546845,0.010001916134440032,-0.01877416781184987,2,13,Aggron
7,0.046180477490286004,0.08248819401166912,0.05220026650914522,0.11471086995574839,-0.08545604331178894,0.08057081464838617,0.07411062735267393,0.06056757203364782,-0.023957966224412475,-0.0011840811287762458,-0.059616383551410516,-0.029813290525095626,0.020942088125727076,0.021751993192225275,0.0013508548797574673,-0.028379868572038794,-0.012221889432382433,-0.03475251957987058,2,2,Aipom
8,0.025746438721177007,0.008194411375447365,0.29337401988096334,-0.03278557531126892,0.01416771736401466,0.008445369003003913,0.008198206871146009,0.026760270528985063,-0.0715545849446947,-0.013227059290422762,-0.025068883919964004,0.04743156153279307,0.016895263202672647,-0.01730471450207164,0.03649441358011906,0.043722959041642084,-0.04074503852643996,0.03271421612134007,0,9,Alakazam
9,0.03990402808078734,-0.08873198953211782,-0.030989484304519664,-0.12863864021526714,0.11819599226853933,0.023959908076841896,0.09561492854437548,0.046172058126220605,-0.09641846232874364,-0.027387986820538578,-0.03516920539741303,0.04194203228815599,-0.020446780421169385,-0.0046426792186331995,-0.003308593582284064,-0.012970937950946022,-0.00310800621475254,-0.004854870560375527,3,17,Alomomola
